song,artist,credits,last,peak,weeks,date
Sunday Best,Surfaces,"F.Frank, C.Padalecki",-,36,1,2020-03-21
Nice To Meet Ya,Meghan Trainor Featuring Nicki Minaj,Ojivolta,40,37,2,2020-03-21
What If I Told You That I Love You,Ali Gatie,"A.Gatie, Sam Wish, Danny Boy",-,38,1,2020-03-21
Life Is Good,Future Featuring Drake,"OZ, D.Hill",-,39,1,2020-03-21
July,Noah Cyrus & Leon Bridges,M.Sonier,-,40,1,2020-03-21
Don't Start Now,Dua Lipa,I.Kirkpatrick,1,1,20,2020-03-28
Hot Girl Bummer,blackbear,"A.M.Goldstein, blackbear",3,2,21,2020-03-28
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",6,3,16,2020-03-28
Roxanne,Arizona Zervas,"94Skrt, JaeGreen",2,2,18,2020-03-28
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",4,1,30,2020-03-28
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",8,6,14,2020-03-28
Heartless,The Weeknd,"Metro Boomin, The Weeknd, Illangelo, Dre Moon",5,5,17,2020-03-28
Everything I Wanted,Billie Eilish,Finneas,7,7,17,2020-03-28
My Oh My,Camila Cabello Featuring DaBaby,Frank Dukes,9,9,13,2020-03-28
Intentions,Justin Bieber Featuring Quavo,"Poo Bear, The Audibles",12,10,7,2020-03-28
Say So,Doja Cat,TYSON TRAX,14,11,7,2020-03-28
Memories,Maroon 5,"A.Levine, The Monsters & Strangerz",11,1,27,2020-03-28
Dance Monkey,Tones And I,K.Kersting,10,6,22,2020-03-28
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",15,14,16,2020-03-28
Stupid Love,Lady Gaga,"BloodPop, Tchami, Max Martin",16,15,4,2020-03-28
You Should Be Sad,Halsey,G.Kurstin,13,13,10,2020-03-28
Rare,Selena Gomez,"Sir Nolan, Simon Says",17,17,8,2020-03-28
I Love Me,Demi Lovato,"Oakwud, Ten4, Alex Nice",23,18,3,2020-03-28
Know Your Worth,Khalid x Disclosure,Disclosure,18,18,7,2020-03-28
The Other Side,SZA X Justin Timberlake,"J.Timberlake, L.Goransson",19,19,4,2020-03-28
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",20,20,11,2020-03-28
The Box,Roddy Ricch,30Roc,22,22,9,2020-03-28
The Man,Taylor Swift,"J.Little, T.Swift",24,23,8,2020-03-28
To Die For,Sam Smith,"StarGate, Jimmy Napes",25,24,6,2020-03-28
What A Man Gotta Do,Jonas Brothers,"D.Stewart, R.B.Tedder",21,14,10,2020-03-28
Before You Go,Lewis Capaldi,TMS,26,26,11,2020-03-28
Ride It.,Regard,Regard,27,27,8,2020-03-28
Modern Loneliness,Lauv,(),33,28,3,2020-03-28
SUGAR,BrockHampton,"Jabari Manwa, R.Hemnani",28,28,10,2020-03-28
The Bones,Maren Morris,G.Kurstin,34,30,4,2020-03-28
No Judgement,Niall Horan,"J.Bunetta, T.Jesso Jr.",30,30,6,2020-03-28
Sunday Best,Surfaces,"F.Frank, C.Padalecki",36,32,2,2020-03-28
Make You Mine,Public,"J.Vaughn, M.Alvarado, E.Tuffendsam, B.Lapps",29,29,17,2020-03-28
Sad Tonight,Chelsea Cutler,(),32,32,8,2020-03-28
Life Is Good,Future Featuring Drake,"OZ, D.Hill",39,35,2,2020-03-28
What If I Told You That I Love You,Ali Gatie,"A.Gatie, Sam Wish, Danny Boy",38,36,2,2020-03-28
Loco Contigo,"DJ Snake, J. Balvin & Tyga",DJ Snake,35,35,5,2020-03-28
Nice To Meet Ya,Meghan Trainor Featuring Nicki Minaj,Ojivolta,37,37,3,2020-03-28
July,Noah Cyrus & Leon Bridges,M.Sonier,40,39,2,2020-03-28
YOU CAN'T HOLD MY HEART,MONSTA X,(),-,40,1,2020-03-28
Don't Start Now,Dua Lipa,I.Kirkpatrick,1,1,21,2020-04-04
Hot Girl Bummer,blackbear,"A.M.Goldstein, blackbear",2,2,22,2020-04-04
