song,artist,credits,last,peak,weeks,date
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",9,1,42,2020-06-20
Supalonely,BENEE Featuring Gus Dapperton,J.M.Fountain,15,12,12,2020-06-20
The Bones,Maren Morris,G.Kurstin,16,13,16,2020-06-20
Stuck With U,Ariana Grande & Justin Bieber,G.M.Stone,17,14,6,2020-06-20
Be Kind,Marshmello & Halsey,Marshmello,18,15,7,2020-06-20
Rain On Me,Lady Gaga & Ariana Grande,"BloodPop, BURNS",21,16,4,2020-06-20
Before You Go,Lewis Capaldi,TMS,19,17,23,2020-06-20
Death Bed,Powfu Featuring beabadoobee,Otterpop,20,18,10,2020-06-20
Watermelon Sugar,Harry Styles,"Kid Harpoon, T.Johnson",23,19,4,2020-06-20
Toosie Slide,Drake,OZ,11,10,11,2020-06-20
X,Jonas Brothers Featuring Karol G,Shellback,24,21,4,2020-06-20
Blueberry Faygo,Lil Mosey,Callan,27,22,7,2020-06-20
If The World Was Ending,JP Saxe Featuring Julia Michaels,Finneas,28,23,7,2020-06-20
Ride It.,Regard,Regard,22,17,20,2020-06-20
Like That,Doja Cat Featuring Gucci Mane,TYSON TRAX,30,25,3,2020-06-20
Rockstar,DaBaby Featuring Roddy Ricch,SethInTheKitchen,31,26,3,2020-06-20
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,"Diplo, King Henry, Charlie Handsome, J.Moi",29,27,9,2020-06-20
In Your Eyes,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",25,20,12,2020-06-20
Mamacita,"Black Eyed Peas, Ozuna + J.Rey Soul","will.i.am, J.Goldstein",39,29,2,2020-06-20
Daisies,Katy Perry,The Monsters & Strangerz,36,30,3,2020-06-20
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi","Take A Daytrip, Dot Da Genius, Plain Pat",34,31,4,2020-06-20
I Hope,Gabby Barrett Featuring Charlie Puth,"R.Copperman, Z.Kale",-,32,1,2020-06-20
July,Noah Cyrus & Leon Bridges,M.Sonier,35,33,13,2020-06-20
100 Ways,Jackson Wang,(),38,34,3,2020-06-20
Oh My God,Alec Benjamin,(),37,35,4,2020-06-20
Drinks,CYN,(),-,36,1,2020-06-20
Bang!,AJR,R.Metzger,40,37,2,2020-06-20
Don't Rush,Young T & Bugsey Featuring Headie One,GRADES,-,38,1,2020-06-20
ily,surf mesa Featuring Emilee,surf mesa,-,39,1,2020-06-20
Man,JoJo,(),-,40,1,2020-06-20
Intentions,Justin Bieber Featuring Quavo,"Poo Bear, The Audibles",3,1,20,2020-06-27
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",2,1,27,2020-06-27
Say So,Doja Cat,TYSON TRAX,1,1,20,2020-06-27
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",4,4,24,2020-06-27
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",5,1,29,2020-06-27
Break My Heart,Dua Lipa,"Andrew Watt, The Monsters & Strangerz",7,6,13,2020-06-27
Roses,SAINt JHN,f a l l e n,8,7,12,2020-06-27
Don't Start Now,Dua Lipa,I.Kirkpatrick,6,1,33,2020-06-27
Savage,Megan Thee Stallion Featuring Beyonce,J White Did It,10,9,9,2020-06-27
Sunday Best,Surfaces,"F.Frank, C.Padalecki",9,9,15,2020-06-27
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",11,1,43,2020-06-27
Rain On Me,Lady Gaga & Ariana Grande,"BloodPop, BURNS",16,12,5,2020-06-27
Supalonely,BENEE Featuring Gus Dapperton,J.M.Fountain,12,12,13,2020-06-27
The Bones,Maren Morris,G.Kurstin,13,13,17,2020-06-27
Before You Go,Lewis Capaldi,TMS,17,15,24,2020-06-27
Stuck With U,Ariana Grande & Justin Bieber,G.M.Stone,14,14,7,2020-06-27
Be Kind,Marshmello & Halsey,Marshmello,15,15,8,2020-06-27
Watermelon Sugar,Harry Styles,"Kid Harpoon, T.Johnson",19,18,5,2020-06-27
Death Bed,Powfu Featuring beabadoobee,Otterpop,18,18,11,2020-06-27
Blueberry Faygo,Lil Mosey,Callan,22,20,8,2020-06-27
X,Jonas Brothers Featuring Karol G,Shellback,21,21,5,2020-06-27
If The World Was Ending,JP Saxe Featuring Julia Michaels,Finneas,23,22,8,2020-06-27
Rockstar,DaBaby Featuring Roddy Ricch,SethInTheKitchen,26,23,4,2020-06-27
Toosie Slide,Drake,OZ,20,10,12,2020-06-27
Like That,Doja Cat Featuring Gucci Mane,TYSON TRAX,25,25,4,2020-06-27
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,"Diplo, King Henry, Charlie Handsome, J.Moi",27,26,10,2020-06-27
I Hope,Gabby Barrett Featuring Charlie Puth,"R.Copperman, Z.Kale",32,27,2,2020-06-27
Mamacita,"Black Eyed Peas, Ozuna + J.Rey Soul","will.i.am, J.Goldstein",29,28,3,2020-06-27
Daisies,Katy Perry,The Monsters & Strangerz,30,29,4,2020-06-27
100 Ways,Jackson Wang,(),34,30,4,2020-06-27
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi","Take A Daytrip, Dot Da Genius, Plain Pat",31,31,5,2020-06-27
Oh My God,Alec Benjamin,(),35,32,5,2020-06-27
July,Noah Cyrus & Leon Bridges,M.Sonier,33,33,14,2020-06-27
Drinks,CYN,(),36,34,2,2020-06-27
Bang!,AJR,R.Metzger,37,35,3,2020-06-27
Don't Rush,Young T & Bugsey Featuring Headie One,GRADES,38,36,2,2020-06-27
ily,surf mesa Featuring Emilee,surf mesa,39,37,2,2020-06-27
Man,JoJo,(),40,38,2,2020-06-27
In Your Eyes,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",28,20,13,2020-06-27
Moral Of The Story,Ashe,"N.Conrad, Finneas",-,40,1,2020-06-27
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",2,1,28,2020-07-04
Intentions,Justin Bieber Featuring Quavo,"Poo Bear, The Audibles",1,1,21,2020-07-04
Say So,Doja Cat,TYSON TRAX,3,1,21,2020-07-04
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",4,4,25,2020-07-04
Adore You,Harry Styles," Kid Harpoon, T.Johnson",5,1,30,2020-07-04
Break My Heart,Dua Lipa,"Andrew Watt, The Monsters & Strangerz",6,6,14,2020-07-04
Roses,SAINt JHN,f a l l e n,7,7,13,2020-07-04
Savage,Megan Thee Stallion Featuring Beyonce,J White Did It,9,8,10,2020-07-04
Don't Start Now,Dua Lipa,I.Kirkpatrick,8,1,34,2020-07-04
Sunday Best,Surfaces,"F.Frank, C.Padalecki",10,9,16,2020-07-04
Rain On Me,Lady Gaga & Ariana Grande,"BloodPop, BURNS",12,11,6,2020-07-04
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",11,1,44,2020-07-04
Supalonely,BENEE Featuring Gus Dapperton,J.M.Fountain,13,12,14,2020-07-04
Watermelon Sugar,Harry Styles,"Kid Harpoon, T.Johnson",18,14,6,2020-07-04
Before You Go,Lewis Capaldi,TMS,15,15,25,2020-07-04
Death Bed,Powfu Featuring beabadoobee,Otterpop,19,16,12,2020-07-04
Be Kind,Marshmello & Halsey,Marshmello,17,15,9,2020-07-04
Stuck With U,Ariana Grande & Justin Bieber,G.M.Stone,16,14,8,2020-07-04
The Bones,Maren Morris,G.Kurstin,14,13,18,2020-07-04
Blueberry Faygo,Lil Mosey,Callan,20,20,9,2020-07-04
Rockstar,DaBaby Featuring Roddy Ricch,SethInTheKitchen,23,21,5,2020-07-04
If The World Was Ending,JP Saxe Featuring Julia Michaels,Finneas,22,22,9,2020-07-04
X,Jonas Brothers Featuring Karol G,Shellback,21,21,6,2020-07-04
Like That,Doja Cat Featuring Gucci Mane,TYSON TRAX,25,24,5,2020-07-04
I Hope,Gabby Barrett Featuring Charlie Puth,"R.Copperman, Z.Kale",27,25,3,2020-07-04
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,"Diplo, King Henry, Charlie Handsome, J.Moi",26,26,11,2020-07-04
Mamacita,"Black Eyed Peas, Ozuna + J.Rey Soul","will.i.am, J.Goldstein",28,27,4,2020-07-04
Daisies,Katy Perry,The Monsters & Strangerz,29,28,5,2020-07-04
Toosie Slide,Drake,OZ,24,10,13,2020-07-04
100 Ways,Jackson Wang,(),30,30,5,2020-07-04
Drinks,CYN,(),34,31,3,2020-07-04
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi","Take A Daytrip, Dot Da Genius, Plain Pat",31,31,6,2020-07-04
Oh My God,Alec Benjamin,(),32,32,6,2020-07-04
July,Noah Cyrus & Leon Bridges,M.Sonier,33,33,15,2020-07-04
Bang!,AJR,R.Metzger,35,35,4,2020-07-04
Don't Rush,Young T & Bugsey Featuring Headie One,GRADES,36,36,3,2020-07-04
ily,surf mesa Featuring Emilee,surf mesa,37,37,3,2020-07-04
Man,JoJo,(),38,38,3,2020-07-04
17,Pink Sweat$,(),-,39,1,2020-07-04
The Other Girl,Kelsea Ballerini x Halsey,"R.Copperman, S.McAnally, K.Ballerini",-,40,1,2020-07-04
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",1,1,29,2020-07-11
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",4,2,26,2020-07-11
Say So,Doja Cat,TYSON TRAX,3,1,22,2020-07-11
Intentions,Justin Bieber Featuring Quavo,"Poo Bear, The Audibles",2,1,22,2020-07-11
Break My Heart,Dua Lipa,"Andrew Watt, The Monsters & Strangerz",6,5,15,2020-07-11
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",5,1,31,2020-07-11
Roses,SAINt JHN,f a l l e n,7,7,14,2020-07-11
Savage,Megan Thee Stallion Featuring Beyonce,J White Did It,8,8,11,2020-07-11
Watermelon Sugar,Harry Styles,"Kid Harpoon, T.Johnson",14,9,7,2020-07-11
Sunday Best,Surfaces,"F.Frank, C.Padalecki",10,9,17,2020-07-11
Don't Start Now,Dua Lipa,I.Kirkpatrick,9,1,35,2020-07-11
Rain On Me,Lady Gaga & Ariana Grande,"BloodPop, BURNS",11,11,7,2020-07-11
Before You Go,Lewis Capaldi,TMS,15,13,26,2020-07-11
Supalonely,BENEE Featuring Gus Dapperton,J.M.Fountain,13,12,15,2020-07-11
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",12,1,45,2020-07-11
Death Bed,Powfu Featuring beabadoobee,Otterpop,16,16,13,2020-07-11
Be Kind,Marshmello & Halsey,Marshmello,17,15,10,2020-07-11
Stuck With U,Ariana Grande & Justin Bieber,G.M.Stone,18,14,9,2020-07-11
Blueberry Faygo,Lil Mosey,Callan,20,19,10,2020-07-11
Rockstar,DaBaby Featuring Roddy Ricch,SethInTheKitchen,21,20,6,2020-07-11
If The World Was Ending,JP Saxe Featuring Julia Michaels,Finneas,22,21,10,2020-07-11
The Bones,Maren Morris,G.Kurstin,19,13,19,2020-07-11
Like That,Doja Cat Featuring Gucci Mane,TYSON TRAX,24,23,6,2020-07-11
I Hope,Gabby Barrett Featuring Charlie Puth,"R.Copperman, Z.Kale",25,24,4,2020-07-11
Mamacita,"Black Eyed Peas, Ozuna + J.Rey Soul","will.i.am, J.Goldstein",27,25,5,2020-07-11
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,"Diplo, King Henry, Charlie Handsome, J.Moi",26,26,12,2020-07-11
X,Jonas Brothers Featuring Karol G,Shellback,23,21,7,2020-07-11
Daisies,Katy Perry,The Monsters & Strangerz,28,28,6,2020-07-11
100 Ways,Jackson Wang,(),30,29,6,2020-07-11
Past Life,Trevor Daniel x Selena Gomez,"Finneas, S.Myer",-,30,1,2020-07-11
Drinks,CYN,(),31,31,4,2020-07-11
Don't Rush,Young T & Bugsey Featuring Headie One,GRADES,36,32,4,2020-07-11
Bang!,AJR,R.Metzger,35,33,5,2020-07-11
July,Noah Cyrus & Leon Bridges,M.Sonier,34,33,16,2020-07-11
Oh My God,Alec Benjamin,(),33,32,7,2020-07-11
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,"Jawsh 685, Jason Derulo",-,36,1,2020-07-11
Toosie Slide,Drake,OZ,29,10,14,2020-07-11
ily,surf mesa Featuring Emilee,surf mesa,37,37,4,2020-07-11
The Other Girl,Kelsea Ballerini x Halsey,"R.Copperman, S.McAnally, K.Ballerini",40,39,2,2020-07-11
17,Pink Sweat$,(),39,39,2,2020-07-11
